"","Title","Revenue","logRev","N_Theaters","logThea","Release_Date","Inception","No_Article","Views60","Users60","Rigor60","Edits60","Views50","Users50","Rigor50","Edits50","Views40","Users40","Rigor40","Edits40","Views30","Users30","Rigor30","Edits30","Views20","Users20","Rigor20","Edits20","Views10","Users10","Rigor10","Edits10","lV60","lU60","lR60","lE60","ldV50","ldU50","ldR50","ldE50","ldV40","ldU40","ldR40","ldE40","ldV30","ldU30","ldR30","ldE30","ldV20","ldU20","ldR20","ldE20","ldV10","ldU10","ldR10","ldE10","Wide_Release","is_sequel","is_3D_or_IMAX","Fri_Sat","in_Summer","Federal_Holiday","N_Other_Rel"
"245","The Losers",9406348,16.0568953384638,2936,7.98480338973441,2010-04-23,1180,0,139098,32,30,45,151442,32,31,46,166488,37,39,59,184780,36,40,60,215249,41,45,66,267677,48,50,74,11.8429411888131,3.49650756146648,3.43398720448515,3.8286413964891,9.42100640177928,0,0.693147180559945,0.693147180559945,9.61893391475888,1.79175946922805,2.19722457733622,2.63905732961526,9.8142737519913,0,0.693147180559945,0.693147180559945,10.3244978719798,1.79175946922805,1.79175946922805,1.94591014905531,10.8672151523349,2.07944154167984,1.79175946922805,2.19722457733622,1,0,0,1,0,0,4
"246","The Lottery",16435,9.70716848609832,1,0,2010-06-11,142,0,5706,6,6,8,5864,6,6,8,6136,6,6,8,6623,7,7,14,7000,7,7,14,7614,7,7,14,8.64944877053671,1.94591014905531,1.94591014905531,2.19722457733622,5.06890420222023,0,0,0,5.60947179518496,0,0,0,6.19031540585315,0.693147180559945,0.693147180559945,1.94591014905531,5.93489419561959,0,0,0,6.42162226780652,0,0,0,0,0,0,1,1,0,4
"247","The Man from Nowhere",35751,10.4843335197589,1,0,2010-10-01,-32,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,3.80666248977032,0,0,0,0,0,0,1,0,0,8
"248","The Milk of Sorrow",1914,7.5569505720129,1,0,2010-08-27,557,0,70898,80,78,127,71513,80,78,127,72133,79,79,128,73198,79,79,128,74656,81,81,131,76102,85,82,132,11.1690116080484,4.39444915467244,4.36944785246702,4.85203026391962,6.42324696353352,0,0,0,6.43133108193348,0,0.693147180559945,0.693147180559945,6.97166860472579,0,0,0,7.28550654852279,1.09861228866811,1.09861228866811,1.38629436111989,7.27724772663148,1.6094379124341,0.693147180559945,0.693147180559945,0,0,0,1,1,0,3
"249","The Most Dangerous Man in America Daniel Ellsberg and the Pentagon Papers",1114,7.01571242048723,1,0,2010-01-29,-20,1,0,0,0,0,2,0,0,0,3,0,0,0,3,0,0,0,3,0,0,0,13,0,0,0,0,0,0,0,1.09861228866811,0,0,0,0.693147180559945,0,0,0,0,0,0,0,0,0,0,0,2.39789527279837,0,0,0,0,0,0,1,0,0,4
"250","The Next Three Days",6542779,15.6938725567263,2564,7.84932381804056,2010-11-19,388,0,210698,61,88,139,221763,61,91,142,233182,61,91,142,245751,60,93,144,279925,80,106,161,309006,81,110,165,12.2581858536965,4.12713438504509,4.48863636973214,4.9416424226093,9.31163262345805,0,1.38629436111989,1.38629436111989,9.34312148321,0,0,0,9.43906830158429,0,1.09861228866811,1.09861228866811,10.4392496615922,3.04452243772342,2.63905732961526,2.89037175789616,10.2778747050734,0.693147180559945,1.6094379124341,1.6094379124341,1,0,0,1,0,0,3
"251","The Nutcracker in 3D",65944,11.0965611759931,42,3.73766961828337,2010-11-24,-1,1,2,0,0,0,3,0,0,0,5,0,0,0,8,0,0,0,9,0,0,0,9,0,0,0,1.09861228866811,0,0,0,0.693147180559945,0,0,0,1.09861228866811,0,0,0,1.38629436111989,0,0,0,0.693147180559945,0,0,0,0,0,0,0,0,0,1,0,0,0,5
"252","The Oath",5760,8.65869275368994,1,0,2010-05-07,76,0,569,4,5,13,761,4,5,13,961,4,5,13,1154,4,5,13,1456,5,8,25,1822,5,8,25,6.3456363608286,1.6094379124341,1.79175946922805,2.63905732961526,5.26269018890489,0,0,0,5.30330490805908,0,0,0,5.26785815906333,0,0,0,5.71373280550937,0.693147180559945,1.38629436111989,2.56494935746154,5.90536184805457,0,0,0,0,0,0,1,0,0,6
"253","The Other Guys",35543162,17.3862583469076,3651,8.20275638165564,2010-08-06,1805,0,470384,148,152,235,490843,156,160,244,511531,164,171,259,531148,173,175,267,552470,178,187,279,596456,191,194,292,13.061306787303,5.00394630594546,5.03043792139244,5.46383180502561,9.92622703950562,2.19722457733622,2.19722457733622,2.30258509299405,9.93735743704374,2.19722457733622,2.484906649788,2.77258872223978,9.88420279112426,2.30258509299405,1.6094379124341,2.19722457733622,9.96754158132623,1.79175946922805,2.56494935746154,2.56494935746154,10.6916494146997,2.63905732961526,2.07944154167984,2.63905732961526,1,0,0,1,1,0,7
"254","The People I%27ve Slept With",3716,8.22040309993373,1,0,2010-08-13,96,0,3103,1,1,6,3342,1,1,6,3581,1,1,6,3704,1,1,6,4113,1,1,6,4550,1,1,6,8.04044688130311,0.693147180559945,0.693147180559945,1.94591014905531,5.48063892334199,0,0,0,5.48063892334199,0,0,0,4.82028156560504,0,0,0,6.01615715969835,0,0,0,6.08221891037645,0,0,0,0,0,0,1,1,0,6
